Dec_Output X,Dec_Output Y
0.001022,6
0.001023,56
0.001024,8
0.001025,54
0.001026,11
0.001027,51
0.001028,13
0.001029,48
0.00103,16
0.001031,45
0.001032,20
0.001033,42
0.001034,23
0.001035,38
0.001036,27
0.001037,35
0.001038,30
0.001039,31
0.00104,34
0.001041,27
0.001042,37
0.001043,24
0.001044,41
0.001045,21
0.001046,44
0.001047,17
0.001048,47
0.001049,14
0.00105,50
0.001051,12
0.001052,53
0.001053,9
0.001054,55
0.001055,7
0.001056,57
0.001057,5
0.001058,59
0.001059,3
0.00106,61
0.001061,2
0.001062,62
0.001063,1
0.001064,63
0.001065,0
0.001066,63
0.001067,0
0.001068,63
0.001069,0
0.00107,63
0.001071,0
0.001072,62
0.001073,1
0.001074,61
0.001075,2
0.001076,60
0.001077,4
0.001078,58
0.001079,6
0.00108,56
0.001081,8
0.001082,54
0.001083,11
0.001084,51
0.001085,14
0.001086,48
0.001087,17
0.001088,45
0.001089,20
0.00109,41
0.001091,23
0.001092,38
0.001093,27
0.001094,34
0.001095,30
0.001096,31
0.001097,34
0.001098,27
0.001099,37
0.0011,24
0.001101,41
0.001102,20
0.001103,44
0.001104,17
0.001105,47
0.001106,14
0.001107,50
0.001108,11
0.001109,53
0.00111,9
0.001111,55
0.001112,6
0.001113,58
0.001114,4
0.001115,59
0.001116,3
0.001117,61
0.001118,1
0.001119,62
0.00112,1
0.001121,63
0.001122,0
0.001123,63
0.001124,0
0.001125,63
0.001126,0
0.001127,63
0.001128,0
0.001129,62
0.00113,1
0.001131,61
0.001132,2
0.001133,60
0.001134,4
0.001135,58
0.001136,6
0.001137,56
0.001138,8
0.001139,53
0.00114,11
0.001141,51
0.001142,14
0.001143,48
0.001144,17
0.001145,45
0.001146,20
0.001147,41
0.001148,24
0.001149,38
0.00115,27
0.001151,34
0.001152,31
0.001153,31
0.001154,34
0.001155,27
0.001156,38
0.001157,24
0.001158,41
0.001159,20
0.00116,44
0.001161,17
0.001162,47
0.001163,14
0.001164,50
0.001165,11
0.001166,53
0.001167,9
0.001168,56
0.001169,6
0.00117,58
0.001171,4
0.001172,60
0.001173,3
0.001174,61
0.001175,1
0.001176,62
0.001177,0
0.001178,63
0.001179,0
0.00118,63
0.001181,0
0.001182,63
0.001183,0
0.001184,63
0.001185,0
0.001186,62
0.001187,1
0.001188,61
0.001189,3
0.00119,60
0.001191,4
0.001192,58
0.001193,6
0.001194,56
0.001195,8
0.001196,53
0.001197,11
0.001198,51
0.001199,14
0.0012,48
0.001201,17
