Dec_Output X,Dec_Output Y
0.001335,0
0.001336,0
0.001337,0
0.001338,0
0.001339,0
0.00134,0
0.001341,0
0.001342,0
0.001343,1
0.001344,1
0.001345,2
0.001346,3
0.001347,4
0.001348,5
0.001349,6
0.00135,7
0.001351,8
0.001352,9
0.001353,10
0.001354,12
0.001355,13
0.001356,15
0.001357,16
0.001358,18
0.001359,19
0.00136,21
0.001361,23
0.001362,24
0.001363,26
0.001364,28
0.001365,30
0.001366,31
0.001367,33
0.001368,35
0.001369,37
0.00137,38
0.001371,40
0.001372,42
0.001373,43
0.001374,45
0.001375,47
0.001376,48
0.001377,50
0.001378,51
0.001379,53
0.00138,54
0.001381,55
0.001382,56
0.001383,57
0.001384,58
0.001385,59
0.001386,60
0.001387,61
0.001388,62
0.001389,62
0.00139,63
0.001391,63
0.001392,63
0.001393,63
0.001394,63
0.001395,63
0.001396,63
0.001397,63
0.001398,63
0.001399,63
0.0014,62
0.001401,62
0.001402,61
0.001403,60
0.001404,59
0.001405,58
0.001406,57
0.001407,56
0.001408,55
0.001409,54
0.00141,53
0.001411,51
0.001412,50
0.001413,48
0.001414,47
0.001415,45
0.001416,44
0.001417,42
0.001418,40
0.001419,39
0.00142,37
0.001421,35
0.001422,33
0.001423,31
0.001424,30
0.001425,28
0.001426,26
0.001427,24
0.001428,23
0.001429,21
0.00143,19
0.001431,18
0.001432,16
0.001433,15
0.001434,13
0.001435,12
0.001436,10
0.001437,9
0.001438,8
0.001439,7
0.00144,6
0.001441,5
0.001442,4
0.001443,3
0.001444,2
0.001445,1
0.001446,1
0.001447,0
0.001448,0
0.001449,0
0.00145,0
0.001451,0
0.001452,0
0.001453,0
0.001454,0
0.001455,0
0.001456,0
0.001457,1
0.001458,2
0.001459,2
0.00146,3
0.001461,4
0.001462,5
0.001463,6
0.001464,7
0.001465,8
0.001466,9
0.001467,11
0.001468,12
0.001469,13
0.00147,15
0.001471,16
0.001472,18
0.001473,20
0.001474,21
0.001475,23
0.001476,25
0.001477,26
0.001478,28
0.001479,30
0.00148,32
0.001481,34
0.001482,35
0.001483,37
0.001484,39
0.001485,40
0.001486,42
0.001487,44
0.001488,45
0.001489,47
0.00149,49
0.001491,50
0.001492,51
0.001493,53
0.001494,54
0.001495,55
0.001496,56
0.001497,58
0.001498,59
0.001499,59
0.0015,60
0.001501,61
0.001502,62
0.001503,62
0.001504,63
0.001505,63
0.001506,63
0.001507,63
0.001508,63
0.001509,63
0.00151,63
0.001511,63
0.001512,63
0.001513,63
0.001514,62
0.001515,61
0.001516,61
0.001517,60
0.001518,59
0.001519,58
0.00152,57
0.001521,56
0.001522,55
0.001523,54
0.001524,52
0.001525,51
0.001526,49
0.001527,48
0.001528,46
0.001529,45
0.00153,43
0.001531,42
0.001532,40
0.001533,38
0.001534,36
0.001535,35
0.001536,33
0.001537,31
0.001538,29
0.001539,28
0.00154,26
0.001541,24
0.001542,22
0.001543,21
0.001544,19
0.001545,17
0.001546,16
0.001547,14
0.001548,13
0.001549,11
0.00155,10
0.001551,9
0.001552,8
0.001553,6
0.001554,5
0.001555,4
0.001556,3
0.001557,3
0.001558,2
0.001559,1
0.00156,1
0.001561,0
0.001562,0
0.001563,0
0.001564,0
0.001565,0
0.001566,0
0.001567,0
0.001568,0
0.001569,0
0.00157,1
0.001571,1
0.001572,2
0.001573,2
0.001574,3
0.001575,4
0.001576,5
0.001577,6
0.001578,7
0.001579,8
0.00158,10
0.001581,11
0.001582,12
0.001583,14
0.001584,15
0.001585,17
0.001586,18
0.001587,20
0.001588,22
0.001589,23
0.00159,25
0.001591,27
0.001592,29
0.001593,30
0.001594,32
0.001595,34
0.001596,36
0.001597,37
0.001598,39
0.001599,41
0.0016,43
0.001601,44
0.001602,46
0.001603,47
0.001604,49
0.001605,50
0.001606,52
0.001607,53
0.001608,54
0.001609,56
0.00161,57
